,0
0,88608
1,20642
2,20645
3,20543
4,112126
5,116019
6,106057
7,89095
8,97994
9,19981
10,96659
11,92211
12,85743
13,93292
14,125511
15,90281
16,20011
17,121085
18,105979
19,93274
20,80557
21,83835
22,93734
23,119791
24,132641
25,106880
26,102041
27,121407
28,90077
29,93242
30,93242
31,116019
32,106057
33,89095
34,97994
35,19981
36,96659
37,90281
38,92211
39,90077
40,93292
41,125511
42,102041
43,121085
44,105979
45,80557
46,119791
47,132641
48,106880
49,121407
50,93734
51,20645
52,83835
53,85743
54,20642
55,20011
56,20543
57,88608
58,93274
59,112126
60,88608
61,20642
62,20645
63,20543
64,112126
65,116019
66,106057
67,89095
68,97994
69,19981
70,96659
71,92211
72,85743
73,93292
74,125511
75,90281
76,20011
77,121085
78,105979
79,93274
80,80557
81,83835
82,93734
83,119791
84,132641
85,106880
86,102041
87,121407
88,90077
89,93242
90,93242
91,116019
92,106057
93,89095
94,97994
95,19981
96,96659
97,90281
98,92211
99,90077
100,93292
101,125511
102,102041
103,121085
104,105979
105,80557
106,119791
107,132641
108,106880
109,121407
110,93734
111,20645
112,83835
113,85743
114,20642
115,20011
116,20543
117,88608
118,93274
119,112126
