,0
0,88608
1,20642
2,20645
3,20543
4,112126
5,116019
6,106057
7,89095
8,97994
9,19981
10,96659
11,92211
12,85743
13,93292
14,125511
15,90281
16,20011
17,121085
18,105979
19,93274
20,80557
21,83835
22,93734
23,119791
24,132641
25,106880
26,102041
27,121407
28,90077
29,93242
30,93242
31,116019
32,106057
33,89095
34,97994
35,19981
36,96659
37,90281
38,92211
39,90077
40,93292
41,125511
42,102041
43,121085
44,105979
45,80557
46,119791
47,132641
48,106880
49,121407
50,93734
51,20645
52,83835
53,85743
54,20642
55,20011
56,20543
57,88608
58,93274
59,112126
