BBLID,Session,Data_There
20303,12234,Yes
90217,12230,Yes
88608,12108,Yes
21874,12094,Yes
94288,12092,Yes
94703,12082,Yes
93757,12015,Yes
96902,11903,Yes
20792,11887,Yes
20325,11852,Yes
88760,11846,Yes
125073,11814,Yes
115783,11788,Yes
118864,11783,Yes
116354,11774,Yes
111720,11766,Yes
91422,11753,Yes
20642,11261,Yes
20645,11260,Yes
20543,11259,Yes
112126,11157,Yes
106057,11122,Yes
89095,11100,Yes
97994,11114,Yes
19981,11106,Yes
96659,11096,No
91962,11090,Yes
92211,10981,Yes
85743,10944,Yes
93292,10938,Yes
94276,10927,Yes
125511,10906,Yes
90281,10902,Yes
20011,10888,Yes
121085,10851,Yes
19970,10827,Yes
105979,10791,Yes
93274,10765,Yes
132179,10760,Yes
80557,10738,Yes
83835,10706,Yes
120217,10722,Yes
93734,10694,Yes
119791,10705,Yes
132641,10692,Yes
106880,10699,Yes
102041,10675,Yes
121407,10688,Yes
90077,10962,Yes
20082,11821,Yes
20754,12200,Yes
20871,11917,Yes
20902,12766,Yes
20903,12159,Yes
92089,12089,Yes
95257,12041,Yes
98370,12558,Yes
127065,12752,Yes
127935,12101,Yes
20916,12762,Yes
21118,12784,Yes
22744,12533,Yes
93242,12442,Yes
94378,11833,Yes
96465,12069,Yes
100522,12003,Yes
112807,11890,Yes
114738,11706,Yes
117847,12740,Yes
126176,12780,Yes
126532,12582,Yes
128079,11934,Yes
128259,12837,Yes
128865,12325,Yes
130438,11999,Yes
131384,12198,Yes
132869,12109,Yes
135085,11812,Yes
135277,12808,Yes
117397,10686,Yes
87646,10754,Yes
93242,11850,Yes
116019,11135,Yes
106057,11122,Yes
89095,11100,Yes
97994,11114,Yes
19981,11106,Yes
96659,11096,No
90281,11093,No
20180,11011,Yes
92211,10981,Yes
90077,10962,Yes
93292,10938,Yes
125511,10906,Yes
102041,10821,Yes
121085,10851,Yes
19790,10819,Yes
105979,10791,Yes
19830,10789,Yes
80557,10738,Yes
119791,10705,Yes
132641,10692,Yes
106880,10699,Yes
121407,10688,Yes
93734,10694,Yes
20645,11260,Yes
83835,10706,Yes
85743,10944,Yes
20642,11261,Yes
20011,10888,Yes
91919,10683,Yes
20543,11259,Yes
81725,11109,Yes
87225,10933,Yes
88608,10764,Yes
90877,10907,Yes
92155,11022,Yes
93274,10765,Yes
112126,11157,Yes
139272,10739,Yes
