Subject	MotorNetwork_CEST_mean	MotorNetwork_CEST_numvoxels	MotorNetwork_CEST_SD
/project/bbl_projects/MotorGluCEST/glucest/102041_10675/102041_10675-GluCEST.nii.gz_0	8.139762	579	3.018068
/project/bbl_projects/MotorGluCEST/glucest/105979_10791/105979_10791-GluCEST.nii.gz_0	7.485830	678	2.309492
/project/bbl_projects/MotorGluCEST/glucest/106057_11122/106057_11122-GluCEST.nii.gz_0	7.803496	469	1.793787
/project/bbl_projects/MotorGluCEST/glucest/106880_10699/106880_10699-GluCEST.nii.gz_0	7.024734	515	2.115174
/project/bbl_projects/MotorGluCEST/glucest/112061_10664/112061_10664-GluCEST.nii.gz_0	7.761194	531	1.682726
/project/bbl_projects/MotorGluCEST/glucest/117397_10686/117397_10686-GluCEST.nii.gz_0	8.510403	684	2.395348
/project/bbl_projects/MotorGluCEST/glucest/119791_10705/119791_10705-GluCEST.nii.gz_0	8.231724	643	2.045203
/project/bbl_projects/MotorGluCEST/glucest/120217_10722/120217_10722-GluCEST.nii.gz_0	7.575146	887	1.788287
/project/bbl_projects/MotorGluCEST/glucest/121085_10851/121085_10851-GluCEST.nii.gz_0	8.690735	694	1.729848
/project/bbl_projects/MotorGluCEST/glucest/121407_10688/121407_10688-GluCEST.nii.gz_0	6.907272	711	1.604493
/project/bbl_projects/MotorGluCEST/glucest/125073_10972/125073_10972-GluCEST.nii.gz_0	8.362047	558	1.615787
/project/bbl_projects/MotorGluCEST/glucest/132179_10760/132179_10760-GluCEST.nii.gz_0	6.023172	12	1.273165
/project/bbl_projects/MotorGluCEST/glucest/132641_10692/132641_10692-GluCEST.nii.gz_0	7.671269	707	1.743679
/project/bbl_projects/MotorGluCEST/glucest/19783_PERC04/19783_PERC04-GluCEST.nii.gz_0	8.141598	630	2.867336
/project/bbl_projects/MotorGluCEST/glucest/19790_10819/19790_10819-GluCEST.nii.gz_0	8.958035	577	2.732040
/project/bbl_projects/MotorGluCEST/glucest/19798_PERC03/19798_PERC03-GluCEST.nii.gz_0	7.337450	699	2.252602
/project/bbl_projects/MotorGluCEST/glucest/19830_10789/19830_10789-GluCEST.nii.gz_0	8.011018	778	2.714049
/project/bbl_projects/MotorGluCEST/glucest/19970_10827/19970_10827-GluCEST.nii.gz_0	6.667467	766	3.103311
/project/bbl_projects/MotorGluCEST/glucest/19971_PERC09/19971_PERC09-GluCEST.nii.gz_0	7.289161	663	1.768042
/project/bbl_projects/MotorGluCEST/glucest/19974_PERC11/19974_PERC11-GluCEST.nii.gz_0	6.459640	376	1.907608
/project/bbl_projects/MotorGluCEST/glucest/19981_11106/19981_11106-GluCEST.nii.gz_0	7.528724	594	2.385537
/project/bbl_projects/MotorGluCEST/glucest/20011_10888/20011_10888-GluCEST.nii.gz_0	7.948700	578	1.810439
/project/bbl_projects/MotorGluCEST/glucest/20180_11011/20180_11011-GluCEST.nii.gz_0	8.320068	408	1.502370
/project/bbl_projects/MotorGluCEST/glucest/20580_11279/20580_11279-GluCEST.nii.gz_0	7.704216	825	1.682563
/project/bbl_projects/MotorGluCEST/glucest/20707_11292/20707_11292-GluCEST.nii.gz_0	6.632929	614	1.686191
/project/bbl_projects/MotorGluCEST/glucest/80537_10989/80537_10989-GluCEST.nii.gz_0	7.428671	542	1.735082
/project/bbl_projects/MotorGluCEST/glucest/80557_10738/80557_10738-GluCEST.nii.gz_0	6.914736	748	1.842314
/project/bbl_projects/MotorGluCEST/glucest/81725_11109/81725_11109-GluCEST.nii.gz_0	9.210462	522	1.675364
/project/bbl_projects/MotorGluCEST/glucest/83835_10706/83835_10706-GluCEST.nii.gz_0	8.474742	727	1.916013
/project/bbl_projects/MotorGluCEST/glucest/87225_10933/87225_10933-GluCEST.nii.gz_0	7.665792	892	1.924687
/project/bbl_projects/MotorGluCEST/glucest/87804_10951/87804_10951-GluCEST.nii.gz_0	7.598800	666	1.763532
/project/bbl_projects/MotorGluCEST/glucest/88608_10764/88608_10764-GluCEST.nii.gz_0	7.385416	665	1.635282
/project/bbl_projects/MotorGluCEST/glucest/88760_10673/88760_10673-GluCEST.nii.gz_0	7.935496	650	1.521905
/project/bbl_projects/MotorGluCEST/glucest/89095_11100/89095_11100-GluCEST.nii.gz_0	8.335957	754	1.613521
/project/bbl_projects/MotorGluCEST/glucest/90077_10962/90077_10962-GluCEST.nii.gz_0	7.481395	718	3.269060
/project/bbl_projects/MotorGluCEST/glucest/90281_10902/90281_10902-GluCEST.nii.gz_0	7.304018	553	1.679795
/project/bbl_projects/MotorGluCEST/glucest/90877_10907/90877_10907-GluCEST.nii.gz_0	8.690862	745	1.662552
/project/bbl_projects/MotorGluCEST/glucest/91393_11133/91393_11133-GluCEST.nii.gz_0	8.788082	773	2.544393
/project/bbl_projects/MotorGluCEST/glucest/91919_10683/91919_10683-GluCEST.nii.gz_0	6.984033	494	2.042220
/project/bbl_projects/MotorGluCEST/glucest/91962_11090/91962_11090-GluCEST.nii.gz_0	7.040771	676	2.245140
/project/bbl_projects/MotorGluCEST/glucest/92155_11022/92155_11022-GluCEST.nii.gz_0	8.394454	651	1.841005
/project/bbl_projects/MotorGluCEST/glucest/92211_10981/92211_10981-GluCEST.nii.gz_0	6.164532	645	2.119162
/project/bbl_projects/MotorGluCEST/glucest/93274_10765/93274_10765-GluCEST.nii.gz_0	8.848216	684	2.033470
/project/bbl_projects/MotorGluCEST/glucest/93292_10938/93292_10938-GluCEST.nii.gz_0	7.439462	596	1.882902
/project/bbl_projects/MotorGluCEST/glucest/93734_10694/93734_10694-GluCEST.nii.gz_0	8.776595	765	1.930284
/project/bbl_projects/MotorGluCEST/glucest/96659_11096/96659_11096-GluCEST.nii.gz_0	8.078029	870	1.757259
/project/bbl_projects/MotorGluCEST/glucest/97994_11114/97994_11114-GluCEST.nii.gz_0	7.289675	674	2.005866
