102041_10675,100522_12003,,,,BBLID,SCANID_CEST,,
102041_10821,102041_10675,,,,20303,12234,,20303_12234
105979_10791,102041_10821,,,,90217,12230,,90217_12230
106057_11122,105176_9332,,,,88608,12108,,88608_12108
106880_10699,105979_10791,,,,21874,12094,,21874_12094
11093_11090,105979_10791,,,,94288,12092,,94288_12092
111720_11766,106057_11122,,,,94703,12082,,94703_12082
112061_10664,106057_11122,,,,93757,12015,,93757_12015
112126_11157,106880_10699,,,,96902,11903,,96902_11903
115783_11788,106880_10699,,,,20792,11887,,20792_11887
116019_11135,109577_8980,,,,20325,11852,,20325_11852
116354_11774,111720_11766,,,,88760,11846,,88760_11846
118864_11783,112126_11157,,,,125073,11814,,125073_11814
119791_10705,112126_11157,,,,115783,11788,,115783_11788
120217_10722,112694_12814,,,,118864,11783,,118864_11783
121085_10851,112715_8892,,,,116354,11774,,116354_11774
121085_11716,112807_11890,,,,111720,11766,,111720_11766
121085_11970,114738_11706,,,,91422,11753,,91422_11753
121085_12548,115783_11788,,,,20642,11261,,20642_11261
121407_10688,116019_11135,,,,20645,11260,,20645_11260
125073_11814,116019_11135,,,,20543,11259,,20543_11259
125073_12167,116354_11774,,,,112126,11157,,112126_11157
125073_12733,117397_10686,,,,116019,11135,,116019_11135
125511_10906,117847_12740,,,,106057,11122,,106057_11122
132179_10760,118864_11783,,,,89095,11100,,89095_11100
132641_10692,119791_10705,,,,97994,11114,,97994_11114
19790_10819,119791_10705,,,,19981,11106,,19981_11106
19830_10789,120217_10722,,,,96659,11096,,96659_11096
19970_10827,121085_10851,,,,91962,11090,,91962_11090
19981_11106,121085_10851,,,,92211,10981,,92211_10981
20011_10888,121407_10688,,,,85743,10944,,85743_10944
20082_11821,121407_10688,,,,93292,10938,,93292_10938
20082_12183,125073_11814,,,,94276,10927,,94276_10927
20082_12690,125511_10906,,,,125511,10906,,125511_10906
20180_11011,125511_10906,,,,90281,10902,,90281_10902
20303_12234,126176_12780,,,,89279,10901,,89279_10901
20303_12656,126532_12582,,,,20011,10888,,20011_10888
20325_11852,127065_12752,,,,121085,10851,,121085_10851
20543_11259,127935_12101,,,,19970,10827,,19970_10827
20642_11261,128079_11934,,,,105979,10791,,105979_10791
20645_11260,128259_12837,,,,93274,10765,,93274_10765
20792_11887,128865_12325,,,,132179,10760,,132179_10760
20792_12238,130438_11999,,,,80557,10738,,80557_10738
20792_12418,131384_12198,,,,83835,10706,,83835_10706
21874_12094,132179_10760,,,,120217,10722,,120217_10722
21874_12519,132641_10692,,,,93734,10694,,93734_10694
80557_10738,132641_10692,,,,119791,10705,,119791_10705
83835_10706,132869_12109,,,,132641,10692,,132641_10692
85743_10944,135085_11812,,,,106880,10699,,106880_10699
88608_12108,135277_12808,,,,102041,10675,,102041_10675
88608_12578,139272_10739,,,,121407,10688,,121407_10688
88760_11846,15305_8752,,,,98831,10086,,98831_10086
88760_12441,16962_8944,,,,17519,9331,,17519_9331
89095_11100,17519_9331,,,,105176,9332,,105176_9332
89320_11148,17621_8962,,,,94028,9203,,94028_9203
90077_10962,17648_8576,,,,85369,9132,,85369_9132
90217_12230,17650_8943,,,,17621,8962,,17621_8962
